case,hh_size,n_adult,n_child,age,sex_code,emp_code,eth_code,mar_code,region_code,tenure_code,lone_parent,educ_code,disp_income_week,eq_scale
1589,1.0,1.0,0.0,78.0,2.0,6.0,1.0,6.0,3.0,7.0,2.0,,153.042,1.0
1590,3.0,2.0,1.0,40.0,2.0,2.0,1.0,3.0,2.0,5.0,2.0,5.0,779.36,2.0
1591,2.0,2.0,0.0,52.0,2.0,2.0,1.0,6.0,2.0,5.0,1.0,1.0,553.2,1.5
1592,5.0,2.0,3.0,53.0,1.0,2.0,1.0,1.0,8.0,7.0,2.0,4.0,1203.89,2.6
1593,2.0,2.0,0.0,51.0,1.0,3.0,1.0,3.0,8.0,2.0,2.0,6.0,599.2036,1.5
1594,2.0,2.0,0.0,59.0,1.0,7.0,1.0,1.0,11.0,2.0,2.0,,136.692,1.5
1595,6.0,1.0,5.0,30.0,2.0,7.0,1.0,6.0,5.0,2.0,1.0,2.0,536.76,2.5
1596,1.0,1.0,0.0,67.0,2.0,6.0,1.0,6.0,2.0,7.0,2.0,,381.832,1.0
1597,1.0,1.0,0.0,34.0,2.0,2.0,1.0,4.0,4.0,5.0,2.0,1.0,373.3024,1.0
1598,6.0,5.0,1.0,44.0,2.0,2.0,1.0,1.0,11.0,1.0,2.0,1.0,1060.21,3.5
1599,1.0,1.0,0.0,25.0,2.0,2.0,1.0,4.0,3.0,3.0,2.0,1.0,554.44,1.0
1600,3.0,3.0,0.0,68.0,1.0,6.0,1.0,1.0,1.0,1.0,2.0,,538.864,2.0
1601,4.0,3.0,1.0,47.0,1.0,2.0,1.0,1.0,8.0,5.0,2.0,4.0,677.59,2.3
1602,2.0,2.0,0.0,69.0,1.0,6.0,1.0,1.0,5.0,7.0,2.0,2.0,511.894,1.5
1603,2.0,2.0,0.0,60.0,2.0,7.0,1.0,6.0,11.0,7.0,2.0,1.0,501.56,1.5
1604,2.0,2.0,0.0,25.0,2.0,2.0,1.0,3.0,10.0,3.0,2.0,5.0,1219.2812,1.5
1605,1.0,1.0,0.0,77.0,2.0,6.0,1.0,5.0,2.0,3.0,2.0,,203.47,1.0
1606,4.0,4.0,0.0,53.0,1.0,2.0,1.0,1.0,4.0,5.0,2.0,7.0,1438.62,2.5
1607,2.0,2.0,0.0,38.0,1.0,2.0,1.0,3.0,9.0,5.0,2.0,2.0,978.2824,1.5
1608,1.0,1.0,0.0,63.0,2.0,6.0,1.0,4.0,4.0,7.0,2.0,1.0,481.572,1.0
1609,2.0,2.0,0.0,43.0,1.0,2.0,1.0,3.0,6.0,5.0,2.0,1.0,946.23,1.5
1610,2.0,2.0,0.0,55.0,1.0,2.0,1.0,1.0,8.0,7.0,2.0,1.0,330.8,1.5
